Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
846,1998,NBA,1,19,MIL,Pat Garrity\garripa01,21.310,F,us,University of Notre Dame,1999,2008,552,20.0,7.3,2.6,0.8,0.4,0.2,.417,.434,.398,.806,18.7,.081
847,1998,NBA,1,20,ATL,Roshown McLeod\mcleoro01,22.225,F,us,Duke University,1999,2001,113,18.8,7.2,2.7,1.1,0.4,0.1,.409,.426,.111,.819,0.2,.004
848,1998,NBA,1,21,CHH,Ricky Davis\davisri01,18.279,G,us,University of Iowa,1999,2010,736,29.8,13.5,3.5,3.3,1.0,0.3,.446,.466,.361,.781,28.0,.061
849,1998,NBA,1,22,LAC,Brian Skinner\skinnbr01,22.041,F,us,Baylor University,1999,2012,608,17.9,4.7,4.7,0.5,0.4,0.9,.494,.494,.333,.566,15.8,.070
850,1998,NBA,1,23,DEN,Tyronn Lue\luety01,21.057,G,us,University of Nebraska,1999,2009,554,22.7,8.5,1.7,3.1,0.5,0.0,.437,.456,.391,.829,19.7,.075
851,1998,NBA,1,24,SAS,Felipe Lopez\lopezfe01,23.193,G,do,St. John's University,1999,2002,249,16.6,5.8,2.4,1.0,0.6,0.2,.432,.445,.327,.659,3.1,.036
852,1998,NBA,1,25,IND,Al Harrington\harrial01,18.132,F,us,,1999,2014,981,28.6,13.5,5.6,1.7,0.9,0.3,.444,.474,.352,.727,42.5,.073
853,1998,NBA,1,26,LAL,Sam Jacobson\jacobsa01,22.343,G-F,us,University of Minnesota,1999,2001,68,11.1,4.2,1.2,0.5,0.5,0.0,.511,.529,.360,.739,1.1,.071
854,1998,NBA,1,27,SEA,Vladimir Stepania\stepavl01,22.052,C,ge,,1999,2004,270,13.8,4.1,4.4,0.3,0.4,0.5,.425,.429,.133,.536,5.2,.067
855,1998,NBA,1,28,CHI,Corey Benjamin\benjaco01,20.125,G,us,Oregon State University,1999,2003,153,14.3,5.5,1.7,0.9,0.5,0.3,.390,.423,.289,.652,-0.9,-0.019
856,1998,NBA,1,29,UTA,Nazr Mohammed\mohamna01,20.297,C,us,University of Kentucky,1999,2016,1005,15.8,5.8,4.7,0.4,0.4,0.6,.486,.487,.000,.640,34.3,.104
857,1998,NBA,2,30,DAL,Ansu Sesay\sesayan01,21.335,F,us,University of Mississippi,2002,2005,127,10.2,3.2,1.8,0.5,0.3,0.2,.434,.447,.276,.640,1.4,.051
858,1998,NBA,2,31,LAL,Ruben Patterson\patteru01,22.334,F,us,University of Cincinnati,1999,2008,649,24.6,10.7,4.2,1.8,1.2,0.4,.517,.530,.179,.641,35.1,.106
859,1998,NBA,2,32,SEA,Rashard Lewis\lewisra02,18.325,F,us,,1999,2014,1049,32.0,14.9,5.2,1.7,1.1,0.5,.452,.491,.386,.805,90.9,.130
860,1998,NBA,2,33,SEA,Jelani McCoy\mccoyje01,20.205,C,us,University of California Los Angeles,1999,2008,260,14.7,4.6,3.5,0.5,0.3,0.7,.539,.539,,.490,5.1,.064
861,1998,NBA,2,34,CHI,Shammond Williams\willish01,23.086,G,us,University of North Carolina,1999,2007,325,16.5,5.8,1.6,2.4,0.6,0.0,.401,.427,.366,.798,8.8,.079
862,1998,NBA,2,35,DAL,Bruno Sundov\sundobr01,18.139,C,hr,,1999,2005,102,5.1,1.7,1.0,0.2,0.1,0.1,.356,.374,.208,.526,-0.7,-0.062
863,1998,NBA,2,36,SAC,Jerome James\jamesje01,22.225,C,us,Florida Agricultural and Mechanical University,1999,2009,358,13.3,4.3,3.1,0.3,0.3,1.1,.485,.486,.000,.617,2.9,.029
864,1998,NBA,2,37,PHI,Casey Shaw\shawca01,22.345,C,us,University of Toledo,1999,1999,9,1.6,0.2,0.3,0.0,0.0,0.0,.125,.125,,,-0.1,-0.498
865,1998,NBA,2,38,NYK,DeMarco Johnson\johnsde02,22.267,F,us,University of North Carolina at Charlotte,2000,2000,5,7.4,1.2,1.4,0.0,0.2,0.0,.333,.333,,,-0.1,-0.091
866,1998,NBA,2,39,MIL,Rafer Alston\alstora01,21.340,G,us,California State University Fresno,2000,2010,671,28.9,10.1,2.8,4.8,1.2,0.2,.383,.407,.354,.729,32.9,.081
867,1998,NBA,2,40,DET,Korleone Young\youngko01,19.180,F,us,,1999,1999,3,5.0,4.3,1.3,0.3,0.0,0.0,.500,.667,.250,1.000,0.1,.280
868,1998,NBA,2,41,HOU,Cuttino Mobley\moblecu01,22.302,G,us,University of Rhode Island,1999,2009,747,37.0,16.0,3.9,2.7,1.2,0.4,.433,.455,.378,.835,52.2,.091
869,1998,NBA,2,42,ORL,Miles Simon\simonmi01,22.221,G,se,University of Arizona,1999,1999,5,3.8,0.4,0.4,0.0,0.2,0.0,.200,.333,.000,,-0.1,-0.289
870,1998,NBA,2,43,WAS,Jahidi White\whiteja01,22.131,F-C,us,Georgetown University,1999,2005,334,17.7,5.9,5.8,0.2,0.4,1.1,.510,.510,.000,.534,10.4,.085
871,1998,NBA,2,44,NYK,Sean Marks\marksse01,22.311,F-C,nz,University of California,1999,2011,230,9.9,2.8,2.2,0.2,0.1,0.4,.448,.459,.200,.665,2.6,.055
872,1998,NBA,2,45,LAL,Toby Bailey\baileto01,22.223,G,us,University of California Los Angeles,1999,2000,73,9.6,3.3,1.7,0.6,0.3,0.1,.407,.422,.200,.692,1.0,.072
873,1998,NBA,2,46,MIN,Andrae Patterson\pattean01,22.230,F,us,Indiana University,1999,2000,40,7.6,3.0,1.7,0.4,0.5,0.2,.455,.479,.000,.778,0.7,.114
874,1998,NBA,2,47,TOR,Tyson Wheeler\wheelty01,22.265,G,us,University of Rhode Island,1999,1999,1,3.0,4.0,0.0,2.0,0.0,0.0,1.000,,1.000,.500,0.1,1.367
875,1998,NBA,2,48,CLE,Ryan Stack\stackry01,22.341,F,us,University of South Carolina,1999,2000,43,9.2,2.3,1.8,0.2,0.1,0.5,.352,.356,.000,.787,0.2,.028
876,1998,NBA,2,49,ATL,Cory Carr\carrco01,22.207,G,us,Texas Tech University,1999,1999,42,14.9,4.1,1.2,1.6,0.5,0.2,.329,.355,.167,.750,-1.2,-0.089
877,1998,NBA,2,50,CHH,Andrew Betts,,,,California State University Long Beach,,,,,,,,,,,,,,,
878,1998,NBA,2,51,MIA,Corey Brewer,,,,University of Oklahoma,,,,,,,,,,,,,,,
879,1998,NBA,2,52,SAS,Derrick Dial\dialde01,22.192,G,us,Eastern Michigan University,2000,2004,82,8.4,3.1,1.6,0.8,0.3,0.1,.372,.404,.190,.672,0.6,.045
880,1998,NBA,2,53,DAL,Greg Buckner\buckngr01,21.286,G,us,Clemson University,2000,2009,570,19.1,5.0,2.8,1.3,0.8,0.2,.450,.496,.334,.757,20.9,.092
881,1998,NBA,2,54,DEN,Tremaine Fowlkes\fowlktr01,22.079,F,us,California State University Fresno,2002,2005,103,12.0,2.9,2.2,0.5,0.5,0.1,.409,.426,.200,.791,2.1,.080
882,1998,NBA,2,55,DEN,Ryan Bowen\bowenry01,22.222,F,us,University of Iowa,2000,2010,507,12.8,2.6,2.1,0.5,0.6,0.3,.456,.472,.206,.693,12.4,.092
883,1998,NBA,2,56,VAN,J.R. Henderson\hendejr01,21.242,F,us,University of California Los Angeles,1999,1999,30,11.0,3.2,1.6,0.7,0.3,0.1,.365,.363,.400,.556,-0.2,-0.025
884,1998,NBA,2,57,UTA,Torraye Braggs\braggto01,22.045,F,us,Xavier University,2004,2005,22,8.1,2.1,2.3,0.3,0.2,0.1,.475,.475,,.667,0.3,.071
885,1998,NBA,2,58,CHI,Maceo Baston\bastoma01,23.032,F,us,University of Michigan,2003,2009,105,7.9,2.7,1.7,0.2,0.2,0.4,.616,.628,.375,.740,2.3,.134
886,1997,NBA,1,1,SAS,Tim Duncan\duncati01,21.066,F-C,vi,Wake Forest University,1998,2016,1392,34.0,19.0,10.8,3.0,0.7,2.2,.506,.509,.179,.696,206.4,.209
887,1997,NBA,1,2,PHI,Keith Van Horn\vanhoke01,21.251,F,us,University of Utah,1998,2006,575,31.6,16.0,6.8,1.6,0.8,0.5,.443,.466,.361,.835,41.7,.110
888,1997,NBA,1,3,BOS,Chauncey Billups\billuch01,20.278,G,us,University of Colorado,1998,2014,1043,31.6,15.2,2.9,5.4,1.0,0.2,.415,.435,.387,.894,120.8,.176
889,1997,NBA,1,4,VAN,Antonio Daniels\daniean01,22.104,G,us,Bowling Green State University,1998,2011,872,22.6,7.6,1.8,3.4,0.6,0.1,.444,.483,.311,.793,47.0,.115
890,1997,NBA,1,5,DEN,Tony Battie\battito01,21.140,C-F,us,Texas Tech University,1998,2012,837,21.1,6.1,5.1,0.6,0.5,0.9,.488,.494,.162,.690,36.4,.099
891,1997,NBA,1,6,BOS,Ron Mercer\mercero01,21.043,G-F,us,University of Kentucky,1998,2005,432,31.1,13.6,3.1,2.1,1.1,0.3,.429,.437,.250,.808,9.4,.034
892,1997,NBA,1,7,NJN,Tim Thomas\thomati01,20.124,F,us,Villanova University,1998,2010,824,25.9,11.5,4.1,1.5,0.7,0.4,.437,.470,.369,.758,35.2,.079
893,1997,NBA,1,8,GSW,Adonal Foyle\foylead01,22.114,C,vc,Colgate University,1998,2009,733,17.8,4.1,4.7,0.5,0.4,1.6,.477,.477,.000,.499,18.7,.069
894,1997,NBA,1,9,TOR,Tracy McGrady\mcgratr01,18.037,F-G,us,,1998,2012,938,32.7,19.6,5.6,4.4,1.2,0.9,.435,.461,.338,.746,97.3,.152
895,1997,NBA,1,10,MIL,Danny Fortson\fortsda01,21.095,F,us,University of Cincinnati,1998,2007,440,20.1,8.2,7.2,0.7,0.4,0.2,.472,.473,.167,.785,22.3,.121
896,1997,NBA,1,11,SAC,Tariq Abdul-Wahad\abdulta01,22.240,F,fr,San Jose State University,1998,2003,236,20.4,7.8,3.3,1.1,0.8,0.4,.417,.425,.237,.703,3.5,.035
897,1997,NBA,1,12,IND,Austin Croshere\croshau01,22.061,F,us,Providence College,1998,2009,659,17.4,6.8,4.0,1.0,0.4,0.3,.407,.443,.340,.861,27.6,.115
898,1997,NBA,1,13,CLE,Derek Anderson\anderde01,22.348,G,us,University of Kentucky,1998,2008,615,29.2,12.0,3.2,3.4,1.1,0.1,.408,.440,.341,.853,43.9,.117
899,1997,NBA,1,14,LAC,Maurice Taylor\tayloma01,20.243,F,us,University of Michigan,1998,2007,534,25.0,11.0,4.6,1.2,0.5,0.5,.466,.468,.152,.711,9.9,.036
900,1997,NBA,1,15,DAL,Kelvin Cato\catoke01,22.309,C,us,Iowa State University,1998,2007,541,19.6,5.5,5.3,0.5,0.5,1.3,.507,.509,.077,.644,28.6,.129
901,1997,NBA,1,16,CLE,Brevin Knight\knighbr01,21.235,G,us,Stanford University,1998,2009,729,24.9,7.3,2.4,6.1,1.7,0.1,.412,.419,.134,.789,32.6,.086
902,1997,NBA,1,17,ORL,Johnny Taylor\taylojo01,23.027,F,us,University of Tennessee at Chattanooga,1998,2000,54,16.0,4.7,2.2,0.5,0.6,0.4,.402,.404,.394,.718,0.1,.007
903,1997,NBA,1,18,POR,Chris Anstey\anstech01,22.181,C,au,,1998,2000,155,13.9,5.2,3.4,0.8,0.5,0.4,.413,.424,.138,.755,2.8,.062
904,1997,NBA,1,19,DET,Scot Pollard\pollasc01,22.139,C,us,University of Kansas,1998,2008,506,16.5,4.4,4.6,0.4,0.6,0.7,.494,.494,.000,.709,26.6,.153
905,1997,NBA,1,20,MIN,Paul Grant\grantpa01,23.176,C,us,University of Wisconsin,1999,2004,16,6.9,1.8,1.1,0.2,0.1,0.1,.448,.448,,.375,-0.1,-0.043
906,1997,NBA,1,21,NJN,Anthony Parker\parkean01,22.012,G,us,Bradley University,1998,2012,494,27.8,9.1,3.2,2.3,0.9,0.2,.444,.469,.404,.794,24.5,.085
907,1997,NBA,1,22,ATL,Ed Gray\grayed01,21.277,G,us,University of California,1998,1999,60,13.5,6.2,1.2,0.8,0.5,0.2,.339,.338,.341,.814,0.1,.009
908,1997,NBA,1,23,SEA,Bobby Jackson\jacksbo01,24.110,G,us,University of Minnesota,1998,2009,755,22.2,9.7,3.1,2.6,0.9,0.1,.417,.444,.354,.793,31.4,.090
909,1997,NBA,1,24,HOU,Rodrick Rhodes\rhodero01,23.280,G-F,us,University of Southern California,1998,2000,72,17.1,5.3,1.2,1.7,1.0,0.2,.347,.354,.200,.620,-1.6,-0.064
910,1997,NBA,1,25,NYK,John Thomas\thomajo02,21.296,F,us,University of Minnesota,1998,2006,208,10.8,2.7,2.1,0.3,0.3,0.2,.502,.505,.000,.591,3.2,.067
911,1997,NBA,1,26,MIA,Charles Smith\smithch04,21.313,G,us,University of New Mexico,1998,2006,142,13.9,5.1,1.4,0.9,0.6,0.5,.409,.473,.288,.606,1.5,.036
912,1997,NBA,1,27,UTA,Jacque Vaughn\vaughja01,22.140,G,us,University of Kansas,1998,2009,776,16.3,4.5,1.3,2.5,0.5,0.0,.429,.437,.352,.779,15.4,.058
913,1997,NBA,1,28,CHI,Keith Booth\boothke01,22.265,F,us,University of Maryland,1998,1999,45,10.0,2.9,2.2,0.9,0.5,0.2,.325,.342,.091,.563,-0.8,-0.080
914,1997,NBA,2,29,HOU,Serge Zwikker,,,,University of North Carolina,,,,,,,,,,,,,,,
915,1997,NBA,2,30,MIA,Mark Sanford,,,,University of Washington,,,,,,,,,,,,,,,
916,1997,NBA,2,31,DET,Charles O'Bannon\obannch01,22.129,G-F,us,University of California Los Angeles,1998,1999,48,8.3,2.5,1.4,0.6,0.2,0.1,.400,.413,.000,.870,0.6,.070
917,1997,NBA,2,32,DEN,James Cotton\cottoja02,21.199,G,us,California State University Long Beach,1998,1999,19,4.8,2.6,0.8,0.0,0.2,0.1,.359,.438,.000,.778,0.0,.008
918,1997,NBA,2,33,PHI,Marko Milic\milicma01,20.054,G-F,si,,1998,1999,44,4.9,2.5,0.7,0.3,0.3,0.0,.560,.571,.429,.647,0.2,.047
919,1997,NBA,2,34,DAL,Bubba Wells\wellsbu01,22.340,F,us,Austin Peay State University,1998,1998,39,10.1,3.3,1.7,0.9,0.4,0.1,.414,.427,.167,.721,0.1,.013
920,1997,NBA,2,35,PHI,Kebu Stewart\stewake01,23.194,F,us,California State University Bakersfield,1998,1998,15,7.3,2.7,2.1,0.1,0.3,0.1,.462,.462,,.640,0.2,.098
921,1997,NBA,2,36,PHI,James Collins\collija01,23.238,G,us,Florida State University,1998,1998,23,4.5,2.6,0.6,0.1,0.3,0.1,.382,.343,.450,.571,0.0,.008
922,1997,NBA,2,37,GSW,Marc Jackson\jacksma02,22.166,C,us,Temple University,2001,2007,387,19.6,8.4,4.3,0.8,0.4,0.3,.446,.448,.226,.814,13.0,.082
923,1997,NBA,2,38,MIL,Jerald Honeycutt\honeyje01,22.254,F-G,us,Tulane University,1998,1999,54,11.7,5.1,1.9,0.7,0.5,0.1,.391,.409,.362,.632,0.3,.020
924,1997,NBA,2,39,SAC,Anthony Johnson\johnsan02,22.272,G,us,College of Charleston,1998,2010,793,19.6,5.6,1.7,2.9,0.7,0.1,.414,.431,.356,.745,23.2,.072
925,1997,NBA,2,40,SEA,Eddie Elisma,,,,Georgia Institute of Technology,,,,,,,,,,,,,,,
926,1997,NBA,2,41,DEN,Jason Lawson\lawsoja01,22.302,C,us,Villanova University,1998,1998,17,4.7,1.5,1.6,0.3,0.2,0.2,.600,.600,,.800,0.5,.280
927,1997,NBA,2,42,PHO,Stephen Jackson\jacksst02,19.086,F-G,us,Butler County Community College,2001,2014,858,31.9,15.1,3.9,3.1,1.3,0.4,.414,.456,.333,.798,36.1,.063
928,1997,NBA,2,43,MIN,Gordon Malone,,,,West Virginia University,,,,,,,,,,,,,,,
929,1997,NBA,2,44,CLE,Cedric Henderson\hendece02,22.112,F,us,University of Memphis,1998,2002,260,23.8,7.3,2.9,1.6,0.9,0.4,.436,.443,.140,.715,3.3,.026
930,1997,NBA,2,45,WAS,God Shammgod\shammgo01,21.062,G,us,Providence College,1998,1998,20,7.3,3.1,0.4,1.8,0.4,0.1,.328,.339,.000,.767,-0.1,-0.049
931,1997,NBA,2,46,ORL,Eric Washington\washier01,23.100,G,us,University of Alabama,1998,1999,104,22.1,6.9,2.1,1.0,0.8,0.4,.402,.431,.346,.757,0.1,.002
932,1997,NBA,2,47,POR,Alvin Williams\willial02,22.329,G,us,Villanova University,1998,2007,460,27.4,9.0,2.5,4.1,1.2,0.2,.421,.443,.313,.760,21.7,.082
933,1997,NBA,2,48,WAS,Predrag Drobnjak\drobnpr01,21.247,C,me,,2002,2005,278,19.9,7.9,3.5,0.8,0.5,0.4,.425,.433,.340,.799,5.6,.048
934,1997,NBA,2,49,ATL,Alain Digbeu,,,,,,,,,,,,,,,,,,,
935,1997,NBA,2,50,ATL,Chris Crawford\crawfch01,22.049,F,us,Marquette University,1998,2004,252,15.8,6.6,2.2,0.6,0.4,0.3,.437,.453,.347,.824,6.5,.078
936,1997,NBA,2,51,LAL,DeJuan Wheat\wheatde01,23.260,G,us,University of Louisville,1998,1999,80,9.3,3.3,0.7,1.6,0.4,0.0,.383,.380,.390,.700,0.5,.034
937,1997,NBA,2,52,VAN,C.J. Bruton,,,,Indian Hills Community College,,,,,,,,,,,,,,,
938,1997,NBA,2,53,LAL,Paul Rogers,,,,Gonzaga University,,,,,,,,,,,,,,,
939,1997,NBA,2,54,SEA,Mark Blount\blounma01,21.213,C,us,University of Pittsburgh,2001,2009,605,23.1,8.2,4.6,0.8,0.5,0.8,.504,.507,.359,.723,18.8,.065
940,1997,NBA,2,55,BOS,Ben Pepper,,,,,,,,,,,,,,,,,,,
941,1997,NBA,2,56,UTA,Nate Erdmann,,,,University of Oklahoma,,,,,,,,,,,,,,,
942,1997,NBA,2,57,CHI,Roberto Duenas,,,,,,,,,,,,,,,,,,,
943,1996,NBA,1,1,PHI,Allen Iverson\iversal01,21.025,G,us,Georgetown University,1997,2010,914,41.1,26.7,3.7,6.2,2.2,0.2,.425,.448,.313,.780,99.0,.126
944,1996,NBA,1,2,TOR,Marcus Camby\cambyma01,22.102,C-F,us,University of Massachusetts Amherst,1997,2013,973,29.5,9.5,9.8,1.9,1.0,2.4,.466,.469,.205,.670,81.6,.137
945,1996,NBA,1,3,VAN,Shareef Abdur-Rahim\abdursh01,19.202,F,us,University of California,1997,2008,830,34.8,18.1,7.5,2.5,1.0,0.8,.472,.480,.297,.810,71.2,.118
946,1996,NBA,1,4,MIL,Stephon Marbury\marbust01,19.131,G,us,Georgia Institute of Technology,1997,2009,846,37.7,19.3,3.0,7.6,1.2,0.1,.433,.465,.325,.784,77.5,.117
947,1996,NBA,1,5,MIN,Ray Allen\allenra02,20.347,G,us,University of Connecticut,1997,2014,1300,35.6,18.9,4.1,3.4,1.1,0.2,.452,.485,.400,.894,145.1,.150
948,1996,NBA,1,6,BOS,Antoine Walker\walkean02,19.323,F,us,University of Kentucky,1997,2008,893,35.3,17.5,7.7,3.5,1.2,0.5,.414,.450,.325,.633,38.1,.058
949,1996,NBA,1,7,LAC,Lorenzen Wright\wrighlo02,20.240,F-C,us,University of Memphis,1997,2009,778,23.8,8.0,6.4,0.8,0.6,0.7,.459,.461,.069,.645,30.5,.079
950,1996,NBA,1,8,NJN,Kerry Kittles\kittlke01,22.020,G,us,Villanova University,1997,2005,507,33.4,14.1,3.9,2.6,1.6,0.4,.439,.463,.378,.780,44.8,.127
951,1996,NBA,1,9,DAL,Samaki Walker\walkesa01,20.127,F,us,University of Louisville,1997,2006,445,17.1,5.3,4.7,0.6,0.3,0.7,.462,.464,.111,.630,14.2,.089
952,1996,NBA,1,10,IND,Erick Dampier\dampier01,20.353,C,us,Mississippi State University,1997,2012,987,24.3,7.4,7.1,0.8,0.3,1.4,.498,.499,.125,.626,52.7,.105
953,1996,NBA,1,11,GSW,Todd Fuller\fulleto02,21.342,C,us,North Carolina State University,1997,2001,225,11.1,3.7,3.0,0.2,0.2,0.3,.422,.424,.000,.668,2.2,.041
954,1996,NBA,1,12,CLE,Vitaly Potapenko\potapvi01,21.103,C,ua,Wright State University,1997,2007,610,19.0,6.5,4.5,0.7,0.4,0.3,.479,.479,.167,.694,15.5,.064
955,1996,NBA,1,13,CHH,Kobe Bryant\bryanko01,17.312,G-F,us,,1997,2016,1346,36.1,25.0,5.2,4.7,1.4,0.5,.447,.479,.329,.837,172.7,.170
956,1996,NBA,1,14,SAC,Peja Stojakovic\stojape01,19.022,F-G,hr,,1999,2011,804,33.5,17.0,4.7,1.8,0.9,0.1,.450,.484,.401,.895,82.6,.147
957,1996,NBA,1,15,PHO,Steve Nash\nashst01,22.145,G,za,Santa Clara University,1997,2014,1217,31.3,14.3,3.0,8.5,0.7,0.1,.490,.518,.428,.904,129.7,.164
958,1996,NBA,1,16,CHH,Tony Delk\delkto01,22.155,G,us,University of Kentucky,1997,2006,545,21.5,9.1,2.5,1.9,0.8,0.1,.408,.436,.343,.769,19.5,.080
959,1996,NBA,1,17,POR,Jermaine O'Neal\onealje01,17.261,F-C,us,,1997,2014,1011,27.1,13.2,7.2,1.4,0.5,1.8,.467,.469,.147,.715,66.0,.116
960,1996,NBA,1,18,NYK,John Wallace\wallajo01,22.143,F,us,Syracuse University,1997,2004,381,16.1,7.6,2.8,0.7,0.4,0.6,.462,.465,.300,.740,6.4,.050
961,1996,NBA,1,19,NYK,Walter McCarty\mccarwa01,22.151,F,us,University of Kentucky,1997,2006,593,17.5,5.2,2.6,1.1,0.6,0.3,.392,.433,.346,.698,13.7,.064
962,1996,NBA,1,20,CLE,Zydrunas Ilgauskas\ilgauzy01,21.027,C,lt,,1998,2011,843,27.2,13.0,7.3,1.1,0.5,1.6,.476,.478,.310,.780,66.3,.139
963,1996,NBA,1,21,NYK,Dontae' Jones\jonesdo01,21.030,F,us,Mississippi State University,1998,1998,15,6.1,2.9,0.6,0.3,0.1,0.2,.333,.382,.261,,-0.3,-0.175
964,1996,NBA,1,22,VAN,Roy Rogers\rogerro02,22.317,F,us,University of Alabama,1997,2000,137,16.9,4.8,3.5,0.4,0.2,1.5,.483,.483,.500,.532,1.7,.035
965,1996,NBA,1,23,DEN,Efthimi Rentzias\rentzef01,20.172,C,gr,,2003,2003,35,4.1,1.5,0.7,0.2,0.2,0.1,.339,.314,.500,.889,0.2,.058
966,1996,NBA,1,24,LAL,Derek Fisher\fishede01,21.327,G,us,University of Arkansas at Little Rock,1997,2014,1287,25.4,8.3,2.1,3.0,1.1,0.1,.399,.413,.374,.817,62.3,.091
967,1996,NBA,1,25,UTA,Martin Muursepp\muursma01,21.279,F,ee,,1997,1998,83,11.5,4.7,2.2,0.6,0.5,0.3,.425,.450,.323,.693,2.0,.100
968,1996,NBA,1,26,DET,Jerome Williams\willije01,23.053,F,us,Georgetown University,1997,2005,587,21.7,6.6,6.4,0.8,1.1,0.2,.502,.506,.038,.645,37.9,.143
969,1996,NBA,1,27,ORL,Brian Evans\evansbr01,22.292,F,us,Indiana University,1997,1999,102,10.8,3.7,1.6,0.8,0.3,0.2,.381,.396,.343,.820,1.7,.076
970,1996,NBA,1,28,ATL,Priest Lauderdale\laudepr01,22.305,C,us,Central State University,1997,1998,74,7.1,3.4,1.9,0.4,0.1,0.4,.472,.474,.000,.554,-0.8,-0.074
971,1996,NBA,1,29,CHI,Travis Knight\knightr01,21.292,C,us,University of Connecticut,1997,2003,371,12.3,3.4,3.1,0.6,0.4,0.6,.438,.447,.259,.696,7.9,.083
972,1996,NBA,2,30,HOU,Othella Harrington\harriot01,22.152,F-C,us,Georgetown University,1997,2008,709,19.6,7.4,4.4,0.6,0.3,0.4,.505,.507,.000,.738,23.1,.080
973,1996,NBA,2,31,PHI,Mark Hendrickson\hendrma01,22.009,F,us,Washington State University,1997,2000,114,13.2,3.3,2.8,0.6,0.4,0.1,.416,.431,.167,.803,2.1,.067
974,1996,NBA,2,32,PHI,Ryan Minor,,,,University of Oklahoma,,,,,,,,,,,,,,,
975,1996,NBA,2,33,MIL,Moochie Norris\norrimo01,22.340,G,us,University of West Florida,1997,2006,445,17.2,5.1,2.0,2.8,0.7,0.0,.401,.430,.286,.740,10.0,.063
976,1996,NBA,2,34,DAL,Shawn Harvey,,,,West Virginia State University,,,,,,,,,,,,,,,
977,1996,NBA,2,35,SEA,Joseph Blair,,,,University of Arizona,,,,,,,,,,,,,,,
978,1996,NBA,2,36,LAC,Doron Sheffer,,,,University of Connecticut,,,,,,,,,,,,,,,
979,1996,NBA,2,37,DEN,Jeff McInnis\mcinnje01,21.253,G,us,University of North Carolina,1997,2008,576,27.7,9.4,2.0,4.4,0.6,0.1,.431,.454,.328,.796,23.1,.070
980,1996,NBA,2,38,BOS,Steve Hamer\hamerst01,22.231,C,us,University of Tennessee,1997,1997,35,7.7,2.2,1.7,0.2,0.1,0.1,.526,.545,.000,.552,0.2,.031
981,1996,NBA,2,39,PHO,Russ Millard,,,,University of Iowa,,,,,,,,,,,,,,,
982,1996,NBA,2,40,GSW,Marcus Mann,,,,Mississippi Valley State University,,,,,,,,,,,,,,,
983,1996,NBA,2,41,SAC,Jason Sasser\sasseja01,22.170,F,us,Texas Tech University,1997,1999,14,7.7,2.1,1.1,0.3,0.4,0.0,.412,.419,.333,.500,0.0,-0.014
984,1996,NBA,2,42,HOU,Randy Livingston\livinra01,21.091,G,us,Louisiana State University,1997,2007,203,13.2,3.8,1.4,2.0,0.6,0.2,.406,.414,.351,.771,2.3,.041
985,1996,NBA,2,43,PHO,Ben Davis\davisbe01,23.188,F,us,University of Arizona,1997,2000,40,3.9,1.4,1.3,0.1,0.2,0.1,.356,.356,,.462,0.1,.040
986,1996,NBA,2,44,CHH,Malik Rose\rosema01,21.221,F,us,Drexel University,1997,2009,813,16.5,6.2,4.1,0.8,0.6,0.4,.437,.442,.177,.743,26.5,.095
987,1996,NBA,2,45,SEA,Joe Vogel,,,,Colorado State University,,,,,,,,,,,,,,,
988,1996,NBA,2,46,POR,Marcus Brown\brownma01,22.090,G,us,Murray State University,1997,2000,27,8.5,3.4,0.8,0.9,0.3,0.1,.381,.422,.333,.714,0.3,.066
989,1996,NBA,2,47,SEA,Ron Riley,,,,Arizona State University,,,,,,,,,,,,,,,
990,1996,NBA,2,48,PHI,Jamie Feick\feickja01,21.364,C,us,Michigan State University,1997,2001,201,21.5,4.5,7.1,0.7,0.6,0.4,.424,.425,.400,.629,8.2,.091
991,1996,NBA,2,49,ORL,Amal McCaskill\mccasam01,22.247,F-C,us,Marquette University,1997,2004,114,8.5,1.8,1.9,0.3,0.2,0.3,.377,.382,.000,.609,0.5,.024
992,1996,NBA,2,50,HOU,Terrell Bell,,,,University of Georgia,,,,,,,,,,,,,,,
993,1996,NBA,2,51,VAN,Chris Robinson\robinch01,22.091,G,us,Western Kentucky University,1997,1998,76,14.4,4.6,1.5,1.4,0.6,0.2,.376,.378,.374,.571,-0.1,-0.003
994,1996,NBA,2,52,IND,Mark Pope\popema01,23.294,F,us,University of Kentucky,1998,2005,153,10.7,1.9,1.7,0.4,0.2,0.3,.401,.455,.179,.573,1.3,.038
995,1996,NBA,2,53,MIL,Jeff Nordgaard\nordgje01,23.129,F,us,University of Wisconsin-Green Bay,1998,1998,13,3.7,1.4,1.1,0.2,0.2,0.0,.278,.278,,.889,0.0,.043
996,1996,NBA,2,54,UTA,Shandon Anderson\andersh01,22.183,F-G,us,University of Georgia,1997,2006,719,22.2,7.4,3.1,1.4,0.8,0.3,.457,.498,.316,.739,23.6,.071
997,1996,NBA,2,55,WSB,Ronnie Henderson,,,,Louisiana State University,,,,,,,,,,,,,,,
998,1996,NBA,2,56,CLE,Reggie Geary\gearyre01,22.305,G,us,University of Arizona,1997,1998,101,9.2,2.1,0.8,1.1,0.5,0.1,.344,.349,.328,.493,0.6,.032
